±§¡æ,±‚∞£,Ω√¿Â¿ß«Ë¡ˆºˆ
∆‰∑Œ∏Ù∏Æ∫Íµß,2013-01-01,49.75809005
∆‰∑Œ∏Ù∏Æ∫Íµß,2013-02-01,42.65957009
∆‰∑Œ∏Ù∏Æ∫Íµß,2013-03-01,45.87333912
∆‰∑Œ∏Ù∏Æ∫Íµß,2013-04-01,49.64818951
∆‰∑Œ∏Ù∏Æ∫Íµß,2013-05-01,55.71217895
∆‰∑Œ∏Ù∏Æ∫Íµß,2013-06-01,54.95594628
∆‰∑Œ∏Ù∏Æ∫Íµß,2013-07-01,55.55069265
∆‰∑Œ∏Ù∏Æ∫Íµß,2013-08-01,60.12676314
∆‰∑Œ∏Ù∏Æ∫Íµß,2013-09-01,65.35657809
∆‰∑Œ∏Ù∏Æ∫Íµß,2013-10-01,64.95185736
∆‰∑Œ∏Ù∏Æ∫Íµß,2013-11-01,67.07700262
∆‰∑Œ∏Ù∏Æ∫Íµß,2013-12-01,68.82858147
∆‰∑Œ∏Ù∏Æ∫Íµß,2014-01-01,66.87543403
∆‰∑Œ∏Ù∏Æ∫Íµß,2014-02-01,61.73227283
∆‰∑Œ∏Ù∏Æ∫Íµß,2014-03-01,48.65824164
∆‰∑Œ∏Ù∏Æ∫Íµß,2014-04-01,54.97524357
∆‰∑Œ∏Ù∏Æ∫Íµß,2014-05-01,30.62352315
∆‰∑Œ∏Ù∏Æ∫Íµß,2014-06-01,5.290506597
∆‰∑Œ∏Ù∏Æ∫Íµß,2014-07-01,2.158187952
∆‰∑Œ∏Ù∏Æ∫Íµß,2014-08-01,4.328487972
∆‰∑Œ∏Ù∏Æ∫Íµß,2014-09-01,8.992839862
∆‰∑Œ∏Ù∏Æ∫Íµß,2014-10-01,12.13477096
∆‰∑Œ∏Ù∏Æ∫Íµß,2014-11-01,34.08112907
∆‰∑Œ∏Ù∏Æ∫Íµß,2014-12-01,56.65878586
∆‰∑Œ∏Ù∏Æ∫Íµß,2015-01-01,66.09653594
∆‰∑Œ∏Ù∏Æ∫Íµß,2015-02-01,57.25185408
