±¤Á¾,Àü¸Á±â°£,¿¹Ãø°¡°Ý,°¡°Ý´ÜÀ§
¸ô¸®ºêµ§,2008-01-01,77613.33333,USD/kg
¸ô¸®ºêµ§,2008-04-01,77960,USD/kg
¸ô¸®ºêµ§,2008-07-01,78870,USD/kg
¸ô¸®ºêµ§,2008-10-01,41750,USD/kg
¸ô¸®ºêµ§,2009-01-01,28166.66667,USD/kg
¸ô¸®ºêµ§,2009-04-01,30853.33333,USD/kg
¸ô¸®ºêµ§,2009-07-01,37956.66667,USD/kg
¸ô¸®ºêµ§,2009-10-01,34000,USD/kg
¸ô¸®ºêµ§,2010-01-01,38783.33333,USD/kg
¸ô¸®ºêµ§,2010-04-01,41336.66667,USD/kg
¸ô¸®ºêµ§,2010-07-01,39436.66667,USD/kg
¸ô¸®ºêµ§,2010-10-01,40663.33333,USD/kg
¸ô¸®ºêµ§,2011-01-01,43456.66667,USD/kg
¸ô¸®ºêµ§,2011-04-01,40276.66667,USD/kg
¸ô¸®ºêµ§,2011-07-01,36583.33333,USD/kg
¸ô¸®ºêµ§,2011-10-01,32973.33333,USD/kg
¸ô¸®ºêµ§,2012-01-01,34780,USD/kg
¸ô¸®ºêµ§,2012-04-01,33336.66667,USD/kg
¸ô¸®ºêµ§,2012-07-01,29840,USD/kg
¸ô¸®ºêµ§,2012-10-01,27700,USD/kg
¸ô¸®ºêµ§,2013-01-01,28123.33333,USD/kg
¸ô¸®ºêµ§,2013-04-01,27140,USD/kg
¸ô¸®ºêµ§,2013-07-01,23703.33333,USD/kg
¸ô¸®ºêµ§,2013-10-01,24530,USD/kg
¸ô¸®ºêµ§,2014-01-01,24986.66667,USD/kg
¸ô¸®ºêµ§,2014-04-01,33346.66667,USD/kg
¸ô¸®ºêµ§,2014-07-01,31410,USD/kg
¸ô¸®ºêµ§,2014-10-01,24290,USD/kg
¸ô¸®ºêµ§,2015-01-01,21376.66667,USD/kg
¸ô¸®ºêµ§,2015-04-01,19260,USD/kg
¸ô¸®ºêµ§,2015-07-01,14943.33333,USD/kg
¸ô¸®ºêµ§,2015-10-01,12870,USD/kg
¸ô¸®ºêµ§,2016-01-01,14342.75,USD/kg
¸ô¸®ºêµ§,2016-04-01,17471.61,USD/kg
¸ô¸®ºêµ§,2016-07-01,18378.9,USD/kg
¸ô¸®ºêµ§,2016-10-01,18060.93,USD/kg
¸ô¸®ºêµ§,2017-01-01,20223.15,USD/kg
¸ô¸®ºêµ§,2017-04-01,21944.45,USD/kg
¸ô¸®ºêµ§,2017-07-01,20553.84,USD/kg
¸ô¸®ºêµ§,2017-10-01,21681.59,USD/kg
¸ô¸®ºêµ§,2018-01-01,29605.5,USD/kg
¸ô¸®ºêµ§,2018-04-01,28700.76,USD/kg
¸ô¸®ºêµ§,2018-07-01,28572.72,USD/kg
¸ô¸®ºêµ§,2018-10-01,28876.28,USD/kg
¸ô¸®ºêµ§,2019-01-01,28465.04,USD/kg
¸ô¸®ºêµ§,2019-04-01,29121.33,USD/kg
¸ô¸®ºêµ§,2019-07-01,28041.07,USD/kg
¸ô¸®ºêµ§,2019-10-01,23712.39,USD/kg
¸ô¸®ºêµ§,2020-01-01,24055.95,USD/kg
¸ô¸®ºêµ§,2020-04-01,20456.33,USD/kg
¸ô¸®ºêµ§,2020-07-01,19443.05,USD/kg
¸ô¸®ºêµ§,2020-10-01,22605.23,USD/kg
¸ô¸®ºêµ§,2021-01-01,27465.89,USD/kg
¸ô¸®ºêµ§,2021-04-01,33425.43,USD/kg
¸ô¸®ºêµ§,2021-07-01,46314.56,USD/kg
¸ô¸®ºêµ§,2021-10-01,46954.99,USD/kg
¸ô¸®ºêµ§,2022-01-01,47170.44,USD/kg
¸ô¸®ºêµ§,2022-04-01,48408.43,USD/kg
¸ô¸®ºêµ§,2022-07-01,41858.15,USD/kg
¸ô¸®ºêµ§,2022-10-01,53423.94,USD/kg
¸ô¸®ºêµ§,2023-01-01,82966.15,USD/kg
¸ô¸®ºêµ§,2023-04-01,57180.28,USD/kg
¸ô¸®ºêµ§,2023-07-01,57189.91,USD/kg
¸ô¸®ºêµ§,2023-10-01,49031.66,USD/kg
¸ô¸®ºêµ§,2024-01-01,49155,USD/kg
¸ô¸®ºêµ§,2024-04-01,48004,USD/kg
¸ô¸®ºêµ§,2024-07-01,45388,USD/kg
¸ô¸®ºêµ§,2024-10-01,42201,USD/kg
¸ô¸®ºêµ§,2025-01-01,41454,USD/kg
¸ô¸®ºêµ§,2025-04-01,42411,USD/kg
¸ô¸®ºêµ§,2025-07-01,42335,USD/kg
¸ô¸®ºêµ§,2025-10-01,41010,USD/kg
¸ô¸®ºêµ§,2026-01-01,41722,USD/kg
¸ô¸®ºêµ§,2026-04-01,43730,USD/kg
¸ô¸®ºêµ§,2026-07-01,44558,USD/kg
¸ô¸®ºêµ§,2026-10-01,43926,USD/kg
