堡辆,扁埃,荐鞭救沥拳瘤荐
府片,2018-01-01,4.208743952
府片,2018-02-01,4.480432173
府片,2018-03-01,5.072714781
府片,2018-04-01,5.054811348
府片,2018-05-01,6.118411818
府片,2018-06-01,7.711653633
府片,2018-07-01,13.93081383
府片,2018-08-01,21.97050776
府片,2018-09-01,32.02620388
府片,2018-10-01,37.52452709
府片,2018-11-01,41.66209856
府片,2018-12-01,40.75743367
府片,2019-01-01,41.36943251
府片,2019-02-01,46.56385146
府片,2019-03-01,46.82325429
府片,2019-04-01,48.23759494
府片,2019-05-01,49.01418121
府片,2019-06-01,48.27322741
府片,2019-07-01,48.7117368
府片,2019-08-01,51.47446924
府片,2019-09-01,56.40206811
府片,2019-10-01,61.26968022
府片,2019-11-01,61.68377942
府片,2019-12-01,62.93454689
府片,2020-01-01,66.4526587
府片,2020-02-01,68.00172028
府片,2020-03-01,68.13568388
府片,2020-04-01,67.60253128
府片,2020-05-01,68.43999542
府片,2020-06-01,69.67028216
府片,2020-07-01,70.78367581
府片,2020-08-01,70.47606866
府片,2020-09-01,70.07211988
府片,2020-10-01,70.41107969
府片,2020-11-01,69.77982887
府片,2020-12-01,67.73875108
府片,2021-01-01,62.95063052
府片,2021-02-01,49.83361549
府片,2021-03-01,40.14463879
府片,2021-04-01,32.60285807
府片,2021-05-01,31.56342591
府片,2021-06-01,32.46448804
府片,2021-07-01,40.40962225
府片,2021-08-01,40.66602208
府片,2021-09-01,29.77816362
府片,2021-10-01,9.600049731
府片,2021-11-01,4.204662714
府片,2021-12-01,11.24114691
府片,2022-01-01,5.791874655
府片,2022-02-01,1.936607938
府片,2022-03-01,1.49491703
府片,2022-04-01,1.99805019
府片,2022-05-01,2.741413223
府片,2022-06-01,3.15084061
府片,2022-07-01,8.207749279
府片,2022-08-01,8.410156397
府片,2022-09-01,8.303806018
府片,2022-10-01,15.22559127
府片,2022-11-01,12.32580552
府片,2022-12-01,9.936780616
府片,2023-01-01,13.78047124
府片,2023-02-01,20.23611189
府片,2023-03-01,26.29095335
府片,2023-04-01,46.1808991
府片,2023-05-01,62.32391645
府片,2023-06-01,44.02466766
府片,2023-07-01,27.99631701
府片,2023-08-01,29.97537603
府片,2023-09-01,45.08277767
府片,2023-10-01,57.90939107
府片,2023-11-01,61.98364547
府片,2023-12-01,66.36255733
府片,2024-01-01,72.06985017
府片,2024-02-01,73.96317445
府片,2024-03-01,73.82237903
府片,2024-04-01,71.25160202
府片,2024-05-01,69.38438779
