±¤Á¾,±âÁØÀÏ,¼ö±Þ¾ÈÁ¤È­Áö¼ö
¸ô¸®ºêµ§,2017-02-01,77.35596321
¸ô¸®ºêµ§,2017-03-01,73.44481296
¸ô¸®ºêµ§,2017-04-01,65.84412024
¸ô¸®ºêµ§,2017-05-01,54.73835121
¸ô¸®ºêµ§,2017-06-01,59.5991614
¸ô¸®ºêµ§,2017-07-01,70.64773431
¸ô¸®ºêµ§,2017-08-01,75.61862249
¸ô¸®ºêµ§,2017-09-01,69.96861106
¸ô¸®ºêµ§,2017-10-01,63.42583717
¸ô¸®ºêµ§,2017-11-01,67.44277901
¸ô¸®ºêµ§,2017-12-01,66.52292024
¸ô¸®ºêµ§,2018-01-01,55.73550072
¸ô¸®ºêµ§,2018-02-01,30.37787198
¸ô¸®ºêµ§,2018-03-01,20.56565955
¸ô¸®ºêµ§,2018-04-01,15.62616491
¸ô¸®ºêµ§,2018-05-01,19.74660266
¸ô¸®ºêµ§,2018-06-01,26.08424779
¸ô¸®ºêµ§,2018-07-01,30.65164467
¸ô¸®ºêµ§,2018-08-01,32.17581926
¸ô¸®ºêµ§,2018-09-01,23.97539798
¸ô¸®ºêµ§,2018-10-01,23.23181215
¸ô¸®ºêµ§,2018-11-01,24.6943631
¸ô¸®ºêµ§,2018-12-01,25.67114659
¸ô¸®ºêµ§,2019-01-01,24.97436121
¸ô¸®ºêµ§,2019-02-01,42.98825899
¸ô¸®ºêµ§,2019-03-01,38.67454511
¸ô¸®ºêµ§,2019-04-01,31.1441263
¸ô¸®ºêµ§,2019-05-01,33.85500734
¸ô¸®ºêµ§,2019-06-01,35.29690734
¸ô¸®ºêµ§,2019-07-01,33.86068378
¸ô¸®ºêµ§,2019-08-01,35.72634017
¸ô¸®ºêµ§,2019-09-01,42.20575313
¸ô¸®ºêµ§,2019-10-01,42.72442772
¸ô¸®ºêµ§,2019-11-01,52.01419941
¸ô¸®ºêµ§,2019-12-01,72.68028265
¸ô¸®ºêµ§,2020-01-01,68.93172333
¸ô¸®ºêµ§,2020-02-01,66.12889469
¸ô¸®ºêµ§,2020-03-01,53.76309749
¸ô¸®ºêµ§,2020-04-01,65.28140207
¸ô¸®ºêµ§,2020-05-01,78.83072052
¸ô¸®ºêµ§,2020-06-01,76.87753511
¸ô¸®ºêµ§,2020-07-01,80.96682757
¸ô¸®ºêµ§,2020-08-01,84.87162783
¸ô¸®ºêµ§,2020-09-01,82.06113279
¸ô¸®ºêµ§,2020-10-01,76.12185452
¸ô¸®ºêµ§,2020-11-01,74.59527505
¸ô¸®ºêµ§,2020-12-01,67.40791962
¸ô¸®ºêµ§,2021-01-01,63.71599561
¸ô¸®ºêµ§,2021-02-01,46.35036021
¸ô¸®ºêµ§,2021-03-01,28.8684113
¸ô¸®ºêµ§,2021-04-01,24.63758331
¸ô¸®ºêµ§,2021-05-01,30.50291096
¸ô¸®ºêµ§,2021-06-01,10.76764403
¸ô¸®ºêµ§,2021-07-01,2.101189092
¸ô¸®ºêµ§,2021-08-01,1.938475738
¸ô¸®ºêµ§,2021-09-01,1.987755014
¸ô¸®ºêµ§,2021-10-01,1.984153396
¸ô¸®ºêµ§,2021-11-01,1.768107003
¸ô¸®ºêµ§,2021-12-01,2.999409582
¸ô¸®ºêµ§,2022-01-01,3.316186182
¸ô¸®ºêµ§,2022-02-01,3.098645208
¸ô¸®ºêµ§,2022-03-01,3.083721526
¸ô¸®ºêµ§,2022-04-01,2.138428949
¸ô¸®ºêµ§,2022-05-01,2.274154184
¸ô¸®ºêµ§,2022-06-01,2.618233119
¸ô¸®ºêµ§,2022-07-01,3.508438348
¸ô¸®ºêµ§,2022-08-01,6.225064135
¸ô¸®ºêµ§,2022-09-01,13.38392901
¸ô¸®ºêµ§,2022-10-01,6.842956506
¸ô¸®ºêµ§,2022-11-01,4.161380196
¸ô¸®ºêµ§,2022-12-01,4.142051442
¸ô¸®ºêµ§,2023-01-01,2.498906553
¸ô¸®ºêµ§,2023-02-01,2.129679943
¸ô¸®ºêµ§,2023-03-01,2.591175803
¸ô¸®ºêµ§,2023-04-01,2.504895558
¸ô¸®ºêµ§,2023-05-01,8.19832123
¸ô¸®ºêµ§,2023-06-01,9.650259664
¸ô¸®ºêµ§,2023-07-01,15.74432604
¸ô¸®ºêµ§,2023-08-01,15.49154432
¸ô¸®ºêµ§,2023-09-01,10.25508697
¸ô¸®ºêµ§,2023-10-01,11.15739207
¸ô¸®ºêµ§,2023-11-01,19.69780851
¸ô¸®ºêµ§,2023-12-01,30.21604424
¸ô¸®ºêµ§,2024-01-01,28.63339301
¸ô¸®ºêµ§,2024-02-01,34.40309456
¸ô¸®ºêµ§,2024-03-01,36.56261597
¸ô¸®ºêµ§,2024-04-01,31.9687619
¸ô¸®ºêµ§,2024-05-01,35.22428097
¸ô¸®ºêµ§,2024-06-01,29.45343529
