±§¡æ,±‚¡ÿ¿œ,ºˆ±ﬁæ»¡§»≠¡ˆºˆ
≈÷Ω∫≈Ÿ,2017-02-01,83.32137007
≈÷Ω∫≈Ÿ,2017-03-01,82.16708239
≈÷Ω∫≈Ÿ,2017-04-01,80.31218663
≈÷Ω∫≈Ÿ,2017-05-01,79.40309109
≈÷Ω∫≈Ÿ,2017-06-01,75.78944145
≈÷Ω∫≈Ÿ,2017-07-01,74.39902941
≈÷Ω∫≈Ÿ,2017-08-01,71.6675257
≈÷Ω∫≈Ÿ,2017-09-01,52.46145851
≈÷Ω∫≈Ÿ,2017-10-01,28.04301116
≈÷Ω∫≈Ÿ,2017-11-01,37.64967382
≈÷Ω∫≈Ÿ,2017-12-01,39.8014716
≈÷Ω∫≈Ÿ,2018-01-01,33.05381817
≈÷Ω∫≈Ÿ,2018-02-01,29.45769436
≈÷Ω∫≈Ÿ,2018-03-01,26.5755542
≈÷Ω∫≈Ÿ,2018-04-01,24.79361879
≈÷Ω∫≈Ÿ,2018-05-01,28.12091249
≈÷Ω∫≈Ÿ,2018-06-01,24.45974941
≈÷Ω∫≈Ÿ,2018-07-01,17.59721145
≈÷Ω∫≈Ÿ,2018-08-01,27.25858471
≈÷Ω∫≈Ÿ,2018-09-01,43.97287011
≈÷Ω∫≈Ÿ,2018-10-01,48.84491056
≈÷Ω∫≈Ÿ,2018-11-01,47.73616971
≈÷Ω∫≈Ÿ,2018-12-01,50.25221369
≈÷Ω∫≈Ÿ,2019-01-01,54.49846447
≈÷Ω∫≈Ÿ,2019-02-01,66.40133114
≈÷Ω∫≈Ÿ,2019-03-01,66.57466749
≈÷Ω∫≈Ÿ,2019-04-01,63.50027805
≈÷Ω∫≈Ÿ,2019-05-01,63.06040918
≈÷Ω∫≈Ÿ,2019-06-01,65.94754481
≈÷Ω∫≈Ÿ,2019-07-01,75.04979898
≈÷Ω∫≈Ÿ,2019-08-01,84.82414722
≈÷Ω∫≈Ÿ,2019-09-01,86.48598306
≈÷Ω∫≈Ÿ,2019-10-01,85.54956657
≈÷Ω∫≈Ÿ,2019-11-01,77.68731803
≈÷Ω∫≈Ÿ,2019-12-01,79.96435511
≈÷Ω∫≈Ÿ,2020-01-01,77.61881908
≈÷Ω∫≈Ÿ,2020-02-01,76.51348942
≈÷Ω∫≈Ÿ,2020-03-01,74.19374505
≈÷Ω∫≈Ÿ,2020-04-01,76.81998258
≈÷Ω∫≈Ÿ,2020-05-01,84.32775205
≈÷Ω∫≈Ÿ,2020-06-01,84.32500306
≈÷Ω∫≈Ÿ,2020-07-01,84.09872072
≈÷Ω∫≈Ÿ,2020-08-01,84.00065678
≈÷Ω∫≈Ÿ,2020-09-01,81.7302488
≈÷Ω∫≈Ÿ,2020-10-01,80.0665068
≈÷Ω∫≈Ÿ,2020-11-01,80.46727309
≈÷Ω∫≈Ÿ,2020-12-01,80.21023801
≈÷Ω∫≈Ÿ,2021-01-01,76.98064967
≈÷Ω∫≈Ÿ,2021-02-01,67.91452552
≈÷Ω∫≈Ÿ,2021-03-01,62.57507368
≈÷Ω∫≈Ÿ,2021-04-01,55.80918436
≈÷Ω∫≈Ÿ,2021-05-01,52.0401999
≈÷Ω∫≈Ÿ,2021-06-01,49.02179529
≈÷Ω∫≈Ÿ,2021-07-01,45.66714375
≈÷Ω∫≈Ÿ,2021-08-01,36.97367581
≈÷Ω∫≈Ÿ,2021-09-01,26.67581555
≈÷Ω∫≈Ÿ,2021-10-01,26.90310954
≈÷Ω∫≈Ÿ,2021-11-01,23.13888363
≈÷Ω∫≈Ÿ,2021-12-01,28.98915735
≈÷Ω∫≈Ÿ,2022-01-01,28.92862597
≈÷Ω∫≈Ÿ,2022-02-01,25.50970516
≈÷Ω∫≈Ÿ,2022-03-01,20.98990789
≈÷Ω∫≈Ÿ,2022-04-01,12.78360205
≈÷Ω∫≈Ÿ,2022-05-01,11.89853373
≈÷Ω∫≈Ÿ,2022-06-01,14.83042436
≈÷Ω∫≈Ÿ,2022-07-01,16.80987152
≈÷Ω∫≈Ÿ,2022-08-01,16.91649043
≈÷Ω∫≈Ÿ,2022-09-01,16.2554053
≈÷Ω∫≈Ÿ,2022-10-01,17.4529919
≈÷Ω∫≈Ÿ,2022-11-01,22.28575646
≈÷Ω∫≈Ÿ,2022-12-01,24.10539978
≈÷Ω∫≈Ÿ,2023-01-01,13.31773958
≈÷Ω∫≈Ÿ,2023-02-01,19.80422324
≈÷Ω∫≈Ÿ,2023-03-01,19.32919249
≈÷Ω∫≈Ÿ,2023-04-01,20.64232018
≈÷Ω∫≈Ÿ,2023-05-01,21.29829239
≈÷Ω∫≈Ÿ,2023-06-01,20.57720652
≈÷Ω∫≈Ÿ,2023-07-01,20.50761744
≈÷Ω∫≈Ÿ,2023-08-01,22.91331915
≈÷Ω∫≈Ÿ,2023-09-01,25.30579731
≈÷Ω∫≈Ÿ,2023-10-01,26.2196454
≈÷Ω∫≈Ÿ,2023-11-01,30.37644709
≈÷Ω∫≈Ÿ,2023-12-01,34.91796572
≈÷Ω∫≈Ÿ,2024-01-01,32.88878282
≈÷Ω∫≈Ÿ,2024-02-01,47.58396124
≈÷Ω∫≈Ÿ,2024-03-01,45.25878953
≈÷Ω∫≈Ÿ,2024-04-01,42.48916178
≈÷Ω∫≈Ÿ,2024-05-01,34.49630516
≈÷Ω∫≈Ÿ,2024-06-01,15.87002376
