광종,기간,시장위험지수
코발트,2011-01-01,60.36154881
코발트,2011-02-01,52.98615722
코발트,2011-03-01,49.08919951
코발트,2011-04-01,51.03415666
코발트,2011-05-01,57.88166341
코발트,2011-06-01,55.53915883
코발트,2011-07-01,56.63865834
코발트,2011-08-01,60.91281509
코발트,2011-09-01,60.3016823
코발트,2011-10-01,59.99414778
코발트,2011-11-01,63.36584291
코발트,2011-12-01,68.43098382
코발트,2012-01-01,68.28768965
코발트,2012-02-01,66.34084755
코발트,2012-03-01,65.54297442
코발트,2012-04-01,68.70734713
코발트,2012-05-01,67.43949904
코발트,2012-06-01,67.93919707
코발트,2012-07-01,70.58461956
코발트,2012-08-01,73.66943004
코발트,2012-09-01,73.92679997
코발트,2012-10-01,70.76038418
코발트,2012-11-01,72.90929338
코발트,2012-12-01,76.44477943
코발트,2013-01-01,79.12591005
코발트,2013-02-01,75.06312278
코발트,2013-03-01,72.59586669
코발트,2013-04-01,76.23481302
코발트,2013-05-01,75.10039807
코발트,2013-06-01,72.16919146
코발트,2013-07-01,69.60854725
코발트,2013-08-01,68.42743289
코발트,2013-09-01,72.36551288
코발트,2013-10-01,69.20148478
코발트,2013-11-01,70.03476423
코발트,2013-12-01,73.94816775
코발트,2014-01-01,75.00907754
코발트,2014-02-01,68.44058706
코발트,2014-03-01,62.34093184
코발트,2014-04-01,60.94639637
코발트,2014-05-01,62.65592018
코발트,2014-06-01,65.12552995
코발트,2014-07-01,65.07328381
코발트,2014-08-01,62.29322131
코발트,2014-09-01,60.30352329
코발트,2014-10-01,61.49884035
코발트,2014-11-01,63.55055502
코발트,2014-12-01,66.09040344
코발트,2015-01-01,65.92645508
코발트,2015-02-01,63.77786425
코발트,2015-03-01,65.41771365
코발트,2015-04-01,69.3432241
코발트,2015-05-01,66.79671145
코발트,2015-06-01,65.84334593
코발트,2015-07-01,65.6645382
코발트,2015-08-01,66.09143053
코발트,2015-09-01,66.86644468
코발트,2015-10-01,70.05472262
코발트,2015-11-01,70.49016673
코발트,2015-12-01,75.57159908
코발트,2016-01-01,79.18199541
코발트,2016-02-01,78.89754002
코발트,2016-03-01,78.64594113
코발트,2016-04-01,77.64658616
코발트,2016-05-01,77.5676307
코발트,2016-06-01,77.86990497
코발트,2016-07-01,77.38827219
코발트,2016-08-01,75.88511535
코발트,2016-09-01,72.92862346
코발트,2016-10-01,71.59953825
코발트,2016-11-01,70.59237027
코발트,2016-12-01,68.31209462
코발트,2017-01-01,65.00015291
코발트,2017-02-01,60.24872159
코발트,2017-03-01,42.06862106
코발트,2017-04-01,21.3281495
코발트,2017-05-01,19.77736407
코발트,2017-06-01,20.50629515
코발트,2017-07-01,16.01030493
코발트,2017-08-01,14.35351826
코발트,2017-09-01,14.34563134
코발트,2017-10-01,13.74209311
코발트,2017-11-01,12.78494533
코발트,2017-12-01,12.11351697
코발트,2018-01-01,7.089883692
코발트,2018-02-01,4.755830221
코발트,2018-03-01,4.358686074
코발트,2018-04-01,3.572456836
코발트,2018-05-01,3.442435344
코발트,2018-06-01,3.588612743
코발트,2018-07-01,3.679262364
코발트,2018-08-01,4.171906833
코발트,2018-09-01,5.781927477
코발트,2018-10-01,5.729471109
코발트,2018-11-01,5.92461023
코발트,2018-12-01,7.288298006
코발트,2019-01-01,12.57202519
코발트,2019-02-01,39.67688574
코발트,2019-03-01,61.30304949
코발트,2019-04-01,71.60069053
코발트,2019-05-01,62.94878183
코발트,2019-06-01,62.57533697
코발트,2019-07-01,70.00327804
코발트,2019-08-01,76.13415142
코발트,2019-09-01,66.52094394
코발트,2019-10-01,57.74859191
코발트,2019-11-01,55.33153037
코발트,2019-12-01,58.02231988
코발트,2020-01-01,62.36657036
코발트,2020-02-01,57.51198402
코발트,2020-03-01,52.96390739
코발트,2020-04-01,56.37634586
코발트,2020-05-01,59.75791423
코발트,2020-06-01,63.17441335
코발트,2020-07-01,65.00386503
코발트,2020-08-01,68.01097665
코발트,2020-09-01,63.78562404
코발트,2020-10-01,61.62322577
코발트,2020-11-01,61.68120207
코발트,2020-12-01,60.84790002
코발트,2021-01-01,59.30083293
코발트,2021-02-01,46.10834872
코발트,2021-03-01,26.12570819
코발트,2021-04-01,18.60627991
코발트,2021-05-01,27.69497185
코발트,2021-06-01,36.33024975
코발트,2021-07-01,41.85892342
코발트,2021-08-01,27.31529438
코발트,2021-09-01,28.55687166
코발트,2021-10-01,26.99440077
코발트,2021-11-01,21.66479724
코발트,2021-12-01,15.72459192
코발트,2022-01-01,8.366610107
코발트,2022-02-01,8.052553672
코발트,2022-03-01,7.245625394
코발트,2022-04-01,3.460284055
