광종,전망기간,예측가격,가격단위
코발트,2008-01-01,48.84,USD/lb
코발트,2008-04-01,47.88,USD/lb
코발트,2008-07-01,34.35,USD/lb
코발트,2008-10-01,22.77,USD/lb
코발트,2009-01-01,15.51,USD/lb
코발트,2009-04-01,15.57,USD/lb
코발트,2009-07-01,18.93,USD/lb
코발트,2009-10-01,19.99,USD/lb
코발트,2010-01-01,21.75,USD/lb
코발트,2010-04-01,21.67,USD/lb
코발트,2010-07-01,20.33,USD/lb
코발트,2010-10-01,18.71,USD/lb
코발트,2011-01-01,19.77,USD/lb
코발트,2011-04-01,18.17,USD/lb
코발트,2011-07-01,17.19,USD/lb
코발트,2011-10-01,15.29,USD/lb
코발트,2012-01-01,15.18,USD/lb
코발트,2012-04-01,14.8,USD/lb
코발트,2012-07-01,13.33,USD/lb
코발트,2012-10-01,12.12,USD/lb
코발트,2013-01-01,12.56,USD/lb
코발트,2013-04-01,13.38,USD/lb
코발트,2013-07-01,14.07,USD/lb
코발트,2013-10-01,13.13,USD/lb
코발트,2014-01-01,14.29,USD/lb
코발트,2014-04-01,14.27,USD/lb
코발트,2014-07-01,15.17,USD/lb
코발트,2014-10-01,14.6,USD/lb
코발트,2015-01-01,14.06,USD/lb
코발트,2015-04-01,14.03,USD/lb
코발트,2015-07-01,13.73,USD/lb
코발트,2015-10-01,11.73,USD/lb
코발트,2016-01-01,10.95,USD/lb
코발트,2016-04-01,11.08,USD/lb
코발트,2016-07-01,12.36,USD/lb
코발트,2016-10-01,13.87,USD/lb
코발트,2017-01-01,20.99,USD/lb
코발트,2017-04-01,27.46,USD/lb
코발트,2017-07-01,29.34,USD/lb
코발트,2017-10-01,31.4,USD/lb
코발트,2018-01-01,38.81,USD/lb
코발트,2018-04-01,42.56,USD/lb
코발트,2018-07-01,35.03,USD/lb
코발트,2018-10-01,32.02,USD/lb
코발트,2019-01-01,18.06,USD/lb
코발트,2019-04-01,16.17,USD/lb
코발트,2019-07-01,15.51,USD/lb
코발트,2019-10-01,17.6,USD/lb
코발트,2020-01-01,17.51,USD/lb
코발트,2020-04-01,15.86,USD/lb
코발트,2020-07-01,15.15,USD/lb
코발트,2020-10-01,15.82,USD/lb
코발트,2021-01-01,21.98,USD/lb
코발트,2021-04-01,21.13,USD/lb
코발트,2021-07-01,24.55,USD/lb
코발트,2021-10-01,29.61,USD/lb
코발트,2022-01-01,36.04,USD/lb
코발트,2022-04-01,38.02,USD/lb
코발트,2022-07-01,26.73,USD/lb
코발트,2022-10-01,24.45,USD/lb
코발트,2023-01-01,18.8,USD/lb
코발트,2023-04-01,16.47,USD/lb
코발트,2023-07-01,18.48,USD/lb
코발트,2023-10-01,17.4,USD/lb
코발트,2024-01-01,16.75,USD/lb
코발트,2024-04-01,16.03,USD/lb
코발트,2024-07-01,15.67,USD/lb
코발트,2024-10-01,15.66,USD/lb
코발트,2025-01-01,15.7,USD/lb
코발트,2025-04-01,15.72,USD/lb
코발트,2025-07-01,15.67,USD/lb
코발트,2025-10-01,15.64,USD/lb
코발트,2026-01-01,17.24,USD/lb
코발트,2026-04-01,18.13,USD/lb
코발트,2026-07-01,18.74,USD/lb
코발트,2026-10-01,19.28,USD/lb
